# Forces      
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.794374      	((6.110264e-03 9.186103e+00 6.689327e+00) (-3.416465e-02 -2.740486e-03 5.112306e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.107409e+00 1.960205e+01 -2.691916e+01) (-6.573613e-04 1.011491e-02 6.821966e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.828846      	((1.219191e-02 9.203880e+00 6.699916e+00) (-3.398405e-02 -2.683094e-03 4.800938e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.111193e+00 1.963292e+01 -2.697584e+01) (-6.456699e-04 9.956921e-03 6.655194e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.867114      	((1.331984e-02 9.216866e+00 6.710420e+00) (-3.370552e-02 -2.741105e-03 4.012326e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.113944e+00 1.966351e+01 -2.701480e+01) (-6.559153e-04 9.628726e-03 6.826421e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.904015      	((1.536249e-02 9.239047e+00 6.723452e+00) (-3.359614e-02 -2.572661e-03 3.176059e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.118572e+00 1.970158e+01 -2.708140e+01) (-6.214436e-04 9.327886e-03 6.324043e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.944975      	((1.567911e-02 9.253676e+00 6.733568e+00) (-3.343107e-02 -2.604467e-03 1.917135e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.121652e+00 1.973088e+01 -2.712442e+01) (-6.213428e-04 8.885042e-03 6.439728e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
0.98473       	((1.381427e-02 9.272623e+00 6.746924e+00) (-3.325574e-02 -2.753430e-03 8.995551e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.125605e+00 1.977007e+01 -2.717867e+01) (-6.492897e-04 8.537578e-03 6.878294e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.02334       	((1.165697e-02 9.276619e+00 6.752433e+00) (-3.313591e-02 -2.630111e-03 -3.309165e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.126385e+00 1.978598e+01 -2.718871e+01) (-6.179123e-04 8.139800e-03 6.529615e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.06232       	((9.652422e-03 9.298977e+00 6.765971e+00) (-3.295056e-02 -2.621412e-03 -1.885595e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.131113e+00 1.982565e+01 -2.725276e+01) (-6.151580e-04 8.137820e-03 6.506999e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.09812       	((6.339211e-03 9.303406e+00 6.770338e+00) (-3.293791e-02 -2.536480e-03 -1.673294e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.131946e+00 1.983826e+01 -2.726309e+01) (-5.910319e-04 7.689944e-03 6.259237e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.13235       	((3.325297e-03 9.312623e+00 6.776548e+00) (-3.283734e-02 -2.489561e-03 -3.182216e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.133885e+00 1.985640e+01 -2.728783e+01) (-5.747478e-04 7.225938e-03 6.114971e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.16513       	((2.227888e-04 9.314736e+00 6.779546e+00) (-3.276497e-02 -2.409822e-03 -3.959937e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134322e+00 1.986494e+01 -2.729143e+01) (-5.534627e-04 6.982833e-03 5.896104e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.20165       	((-4.848876e-03 9.318498e+00 6.780500e+00) (-3.267805e-02 -2.434025e-03 -3.754921e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.135080e+00 1.986770e+01 -2.729865e+01) (-5.572785e-04 7.010233e-03 5.971023e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.23817       	((-8.087130e-03 9.315568e+00 6.781021e+00) (-3.267576e-02 -2.473278e-03 -5.123515e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134424e+00 1.986888e+01 -2.728736e+01) (-5.600600e-04 6.617071e-03 6.074225e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.26411       	((-1.043429e-02 9.315417e+00 6.780287e+00) (-3.258924e-02 -2.397740e-03 -5.024795e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134413e+00 1.986652e+01 -2.728498e+01) (-5.438261e-04 6.631283e-03 5.883897e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
